id,project_number,series_number,run_number,test_number,model_number,ship_name,loading_condition_id,ascii_name,ship_speed,comment,file_path_ascii,file_path_ascii_temp,file_path_log,file_path_hdf5,date,test_type,facility,angle1,angle2,scale_factor,name,lcg,kg,gm,CW,TF,TA,BWL,KXX,KZZ,BTT1,CP,Volume,A0,RH,lpp,beam,ABULB,BKX,TWIN,DCLR,VDES,RHBL,ASKEG,PD,ARH,CFP,AIX,PDTDES,RTYPE,SFP,BKL,BKB,PROT,D,LSKEG,RR,XSKEG,NDES,AR,BR,BRA,IRUD,PTYPE,XRUD,AI,HSKEG,RSKEG,LOA,ship_type_id,xm,ym,zm
22605,40199079,1,1,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run001.hdf5,2020-09-18,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22606,40199079,1,2,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run002.hdf5,2020-09-21,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22607,40199079,1,3,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run003.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22608,40199079,1,4,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run004.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22609,40199079,1,5,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run005.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22610,40199079,1,6,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run006.hdf5,2020-09-23,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22611,40199079,1,7,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run007.hdf5,2020-09-23,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22612,40199079,1,1,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run001.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22613,40199079,1,2,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run002.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22614,40199079,1,3,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run003.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22615,40199079,1,4,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run004.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22616,40199079,1,5,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run005.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22631,40199079,1,1,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run001.hdf5,2020-09-29,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22632,40199079,1,2,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run002.hdf5,2020-10-05,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22633,40199079,1,3,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run003.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22634,40199079,1,4,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run004.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22635,40199079,1,5,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run005.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22636,40199079,1,1,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run001.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22637,40199079,1,2,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run002.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22638,40199079,1,3,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run003.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22639,40199079,1,4,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run004.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22762,40199079,5,1,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run001.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22763,40199079,5,2,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run002.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22764,40199079,5,3,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run003.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22765,40199079,5,1,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run001.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22766,40199079,5,2,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run002.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22767,40199079,5,3,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run003.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22768,40199079,5,4,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run004.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22769,40199079,5,5,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run005.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22770,40199079,5,6,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run006.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22771,40199079,5,1,3,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\003\MDL-Proj40199079-Ser005-Test003-Run001.hdf5,2020-09-24,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22772,40199079,5,2,3,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\003\MDL-Proj40199079-Ser005-Test003-Run002.hdf5,2020-09-24,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22773,40199079,5,1,4,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\004\MDL-Proj40199079-Ser005-Test004-Run001.hdf5,2020-09-25,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22774,40199079,5,1,5,M5139-02-A,M5139-02-A,167,,0.961769764,Circle 35SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\005\MDL-Proj40199079-Ser005-Test005-Run001.hdf5,2020-09-23,turning circle,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22775,40199079,5,2,5,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\005\MDL-Proj40199079-Ser005-Test005-Run002.hdf5,2020-10-09,zigzag,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22776,40199079,5,1,6,M5139-02-A,M5139-02-A,167,,0.961769764,Circle 35PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\006\MDL-Proj40199079-Ser005-Test006-Run001.hdf5,2020-09-23,turning circle,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22777,40199079,5,1,7,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\007\MDL-Proj40199079-Ser005-Test007-Run001.hdf5,2020-10-08,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22778,40199079,5,1,8,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\008\MDL-Proj40199079-Ser005-Test008-Run001.hdf5,2020-10-09,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22779,40199079,5,2,8,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\008\MDL-Proj40199079-Ser005-Test008-Run002.hdf5,2020-10-09,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22780,40199079,5,1,9,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20SB - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\009\MDL-Proj40199079-Ser005-Test009-Run001.hdf5,2020-10-08,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22781,40199079,5,1,10,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20PS - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\010\MDL-Proj40199079-Ser005-Test010-Run001.hdf5,2020-10-09,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22782,40199079,5,2,10,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20PS - GWA= -90,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\010\MDL-Proj40199079-Ser005-Test010-Run002.hdf5,2020-10-09,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
